"";"Publication.Year";"Count.of.Simple.Family.Members";"Simple.Family.Cited.by.Count";"Count.of.Other.References";"Count.of.Cited.by.Patents";"Count.of.Cites.Patents";"Count.of.Cited.by.Patents.Within.3.years";"Count.of.Cited.by.Patents.Within.5.years";"Simple.Legal.Status";"Count.of.claims";"Quality.of.Family";"Cluster"
"1247";1961;1;2;0;2;0;1;1;3;9;0;"2"
"1248";1966;1;14;0;14;0;0;0;3;1;0;"2"
"1249";1923;1;0;0;0;0;0;0;3;1;0;"2"
"1250";1997;13;170;0;141;19;3;8;3;73;1;"1"
"1251";2017;2;0;0;0;0;0;0;3;7;0;"1"
"1252";2017;1;4;0;4;0;4;4;3;7;0;"1"
"1253";2006;1;0;0;0;0;0;0;3;73;0;"1"
"1254";1915;1;1;0;1;0;0;0;3;11;0;"2"
"1255";2004;3;6;0;2;6;0;0;3;23;0;"1"
"1256";2006;13;10;0;0;7;0;0;1;3;1;"1"
"1257";1912;1;0;0;0;0;0;0;3;6;0;"2"
"1258";1992;1;15;0;15;9;0;1;3;16;1;"1"
"1259";2004;4;14;0;8;5;2;6;3;14;1;"1"
"1260";2020;1;0;0;0;0;0;0;2;9;0;"1"
"1261";2005;11;43;0;0;0;0;0;3;75;1;"1"
"1262";1927;1;0;0;0;0;0;0;3;9;0;"2"
"1263";1997;1;4;0;4;0;0;0;3;5;0;"1"
"1264";1920;1;0;0;0;0;0;0;3;1;0;"2"
"1265";1925;1;4;0;4;0;0;0;3;5;0;"2"
"1266";2020;1;0;0;0;4;0;0;1;60;0;"1"
"1267";2015;2;1;1;1;3;1;1;3;25;0;"1"
"1268";2011;4;61;4;4;20;2;2;3;4;1;"1"
"1269";1978;2;0;0;0;0;0;0;3;12;0;"1"
"1270";2016;3;5;0;2;9;2;2;1;6;0;"1"
"1271";1997;1;0;0;0;0;0;0;3;6;0;"1"
"1272";1916;1;0;0;0;0;0;0;3;6;0;"2"
"1273";1939;1;3;0;3;0;1;1;3;9;0;"2"
"1274";2006;4;6;1;0;0;0;0;3;8;0;"1"
"1275";1989;1;32;0;32;6;1;2;3;53;1;"1"
"1276";1992;1;63;0;63;5;0;1;3;130;1;"1"
"1277";2008;1;0;0;0;0;0;0;3;8;0;"1"
"1278";1976;1;26;0;26;10;0;0;3;28;1;"1"
"1279";1913;1;0;0;0;0;0;0;3;30;0;"2"
